Sample	BioProject	Location	Plant	Organ material	Year	Season	Species
SRR24918031	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Leaf	2022	Summer	V. amurensis
SRR24918054	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Leaf	2022	Summer	V. amurensis
SRR24917972	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Stem	2022	Summer	V. amurensis
SRR24918002	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Stem	2022	Summer	V. amurensis
SRR24917969	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Leaf	2022	Summer	V. amurensis
SRR24918027	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Leaf	2022	Summer	V. amurensis
SRR24918024	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Stem	2022	Summer	V. amurensis
SRR24917978	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Stem	2022	Summer	V. amurensis
SRR24917958	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Leaf	2022	Summer	V. amurensis
SRR24917956	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Leaf	2022	Summer	V. amurensis
SRR24918053	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Stem	2022	Summer	V. amurensis
SRR24918051	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Stem	2022	Summer	V. amurensis
SRR24918049	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Leaf	2022	Summer	V. amurensis
SRR24918015	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Leaf	2022	Summer	V. amurensis
SRR24918013	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Leaf	2022	Summer	V. amurensis
SRR24918010	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Stem	2022	Summer	V. amurensis
SRR24918042	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Stem	2022	Summer	V. amurensis
SRR24918040	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Stem	2022	Summer	V. amurensis
SRR24917976	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Leaf	2022	Summer	V. amurensis
SRR24917974	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Leaf	2022	Summer	V. amurensis
