Sample	BioProject	Location	Plant	Organ material	Year	Season	Species
SRR24918026	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Leaf	2022	Summer	V. amurensis
SRR24918011	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Leaf	2022	Summer	V. amurensis
SRR24918045	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Stem	2022	Summer	V. amurensis
SRR24917999	PRJNA980748	Greenhouse at the Laboratory of Biotechnology, Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, Vladivostok, Russia (43.192929, 131.921064)	Gh	Stem	2022	Summer	V. amurensis
SRR24918058	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Leaf	2022	Summer	V. amurensis
SRR24918030	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Leaf	2022	Summer	V. amurensis
SRR24917979	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Stem	2022	Summer	V. amurensis
SRR24917959	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-1	Stem	2022	Summer	V. amurensis
SRR24917957	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Leaf	2022	Summer	V. amurensis
SRR24918055	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Leaf	2022	Summer	V. amurensis
SRR24918052	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Stem	2022	Summer	V. amurensis
SRR24918050	PRJNA980748	Vladivostok, the southern Primorsky Territory of the Russian Far East (43.2242327, 131.991123)	P-2	Stem	2022	Summer	V. amurensis
SRR24918048	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Leaf	2022	Summer	V. amurensis
SRR24918014	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Leaf	2022	Summer	V. amurensis
SRR24918012	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Leaf	2022	Summer	V. amurensis
SRR24918009	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Stem	2022	Summer	V. amurensis
SRR24918041	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Stem	2022	Summer	V. amurensis
SRR24917977	PRJNA980748	Ivanovka village, the center of Primorsky Territory of the Russian Far East (43.975818, 132.481537)	P-5	Stem	2022	Summer	V. amurensis
SRR24917975	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Leaf	2022	Summer	V. amurensis
SRR24917973	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Leaf	2022	Summer	V. amurensis
SRR24917954	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Leaf	2022	Summer	V. amurensis
SRR24917952	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Stem	2022	Summer	V. amurensis
SRR24917950	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Stem	2022	Summer	V. amurensis
SRR24917948	PRJNA980748	Russky Island, the southern Primorsky Territory of the Russian Far East (42.964116, 131.881337)	P-3	Stem	2022	Summer	V. amurensis
SRR24918046	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	M	Leaf	2022	Summer	V. amurensis
SRR24918043	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	M	Leaf	2022	Summer	V. amurensis
SRR24917996	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	M	Leaf	2022	Summer	V. amurensis
SRR24918007	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	M	Stem	2022	Summer	V. amurensis
SRR24918005	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	M	Stem	2022	Summer	V. amurensis
SRR24918003	PRJNA980748	The commercial vineyard «Makarevich» (43.718600, 132.11040)	M	Stem	2022	Summer	V. amurensis
SRR24918000	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	P-6	Leaf	2022	Summer	V. amurensis
SRR24917946	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	P-6	Leaf	2022	Summer	V. amurensis
SRR24918068	PRJNA980748	The Verkhne-Ussuriysky Research Station (SSA) of the Federal Scientific Center of the East Asia Terrestrial Biodiversity, Far Eastern Branch of the Russian Academy of Sciences, the center of Primorsky Territory of the Russian Far East (44.034842, 134.202996)	P-6	Stem	2022	Summer	V. amurensis
